frame,track_id,class_id,x1,y1,x2,y2,cx,cy,pitch_x,pitch_y,team_id_x,team_id_y,team_id
20,9,3,224.05815,466.77313,230.96417,487.18472,227.51117,487.18472,42.59028,110.61753,,,
20,3,2,205.34149,427.41272,210.28871,444.1756,207.8151,444.1756,45.935883,44.808506,,0.0,0.0
20,1,0,318.6905,461.83795,323.61285,476.49127,321.15167,476.49127,17.756086,93.44918,1.0,,
20,8,0,347.80524,481.90143,352.847,493.59995,350.3261,493.59995,12.522408,115.99114,1.0,,
20,10,0,295.8789,442.9384,300.9723,458.9692,298.4256,458.9692,21.76457,67.797516,0.0,,
20,11,2,191.23595,446.24878,197.91634,460.58417,194.57614,460.58417,50.36469,72.15515,,0.0,0.0
20,5,2,264.9512,450.3101,271.30298,471.80457,268.12708,471.80457,31.007235,87.82156,,0.0,0.0
21,9,3,225.3966,466.63766,233.33665,487.10733,229.36664,487.10733,42.107235,110.46339,,,
21,8,0,348.10104,481.94717,353.3119,493.25146,350.70648,493.25146,12.389433,115.52802,1.0,,
21,3,2,206.00642,427.765,210.84494,445.3721,208.42569,445.3721,45.813263,46.861507,,0.0,0.0
21,10,2,295.66586,442.32114,301.17914,458.6703,298.4225,458.6703,21.733461,67.33046,,0.0,0.0
21,1,0,318.72437,461.60275,323.84985,476.84537,321.2871,476.84537,17.761219,93.94874,1.0,,
21,11,2,191.2453,446.03964,198.64932,461.1041,194.94731,461.1041,50.277306,72.9707,,0.0,0.0
21,5,2,265.2133,450.19757,271.38477,471.55814,268.299,471.55814,30.94214,87.455414,,0.0,0.0
21,6,2,233.74692,441.74316,239.97696,459.9579,236.86194,459.9579,38.57116,70.40723,,0.0,0.0
22,9,3,225.26494,466.62265,233.28107,487.0291,229.27301,487.0291,42.127472,110.358536,,,
22,8,0,348.30722,481.84552,353.17307,493.00763,350.74014,493.00763,12.352256,115.20958,1.0,,
22,3,2,206.25131,427.90915,210.99338,445.02872,208.62234,445.02872,45.740173,46.269264,,0.0,0.0
22,1,0,318.72437,461.6345,323.84833,476.536,321.28635,476.536,17.726912,93.509766,1.0,,
22,10,2,295.62848,442.0935,301.2765,458.75732,298.45248,458.75732,21.73473,67.46604,,0.0,0.0
22,11,2,191.24655,446.2268,198.70363,461.71085,194.9751,461.71085,50.289165,73.92693,,0.0,0.0
22,6,2,233.74736,441.5487,239.99844,460.14276,236.8729,460.14276,38.579853,70.69797,,0.0,0.0
